x,y,made
10.8,20.95,False
48.0,40.65,False
23.5,39.75,False
38.9,20.35,True
8.100000000000001,23.35,True
24.8,35.85,True
27.3,40.05,True
37.3,28.05,True
33.4,16.65,True
23.7,15.75,False
26.1,40.75,True
29.8,40.65,False
23.6,35.05,False
48.0,41.25,False
27.7,16.15,True
8.3,23.35,True
21.4,32.35,False
29.9,25.35,False
25.5,30.45,False
20.5,35.55,True
33.7,21.85,False
26.4,40.65,True
6.0,24.15,False
35.3,15.350000000000001,False
34.6,30.15,True
28.2,41.05,True
1.8999999999999986,38.95,False
15.5,16.15,False
10.5,15.75,False
25.3,41.25,False
25.0,41.25,True
15.6,35.85,False
27.6,39.55,False
25.0,33.85,True
39.3,18.55,False
25.4,40.95,True
25.2,20.85,False
20.8,37.15,False
25.8,40.15,True
24.9,33.35,False
22.7,15.05,True
42.1,23.05,False
1.6999999999999993,42.15,False
24.4,19.65,True
23.9,40.55,True
25.0,41.35,True
12.3,32.65,True
23.8,17.15,False
32.2,35.55,True
36.8,22.45,True
11.3,28.15,False
24.6,42.15,True
24.3,40.85,True
24.2,40.15,True
24.7,37.65,False
28.4,33.45,False
34.4,33.65,False
23.6,40.15,False
23.2,41.25,True
12.5,18.85,True
25.4,40.05,True
24.6,39.25,True
23.6,41.25,False
25.3,40.95,False
11.9,19.55,True
24.2,16.25,False
7.899999999999999,23.25,False
25.5,39.85,False
25.6,42.55,True
48.2,40.95,True
24.2,41.15,True
32.6,15.149999999999999,False
37.3,40.65,True
15.2,24.65,True
31.0,16.75,False
8.0,23.25,True
29.7,32.65,False
16.1,17.25,False
28.6,16.95,True
22.8,38.55,False
25.1,38.95,False
31.6,38.45,False
20.4,17.05,True
24.8,14.75,False
25.0,42.35,True
24.5,37.45,False
18.7,16.55,False
43.2,36.95,False
1.0,39.85,True
34.0,15.95,True
23.1,41.45,False
7.199999999999999,24.35,True
28.2,39.65,False
27.3,41.15,True
25.0,42.35,True
24.7,40.65,True
8.399999999999999,40.05,False
36.4,19.45,True
4.300000000000001,26.25,True
24.9,41.35,True
24.5,40.65,True
44.2,31.75,False
35.3,18.35,False
37.5,35.85,False
27.4,32.45,True
14.1,18.65,True
25.3,40.55,True
14.4,23.15,True
24.5,35.85,True
11.1,20.95,True
17.3,15.45,True
28.9,40.65,True
47.3,36.45,False
20.6,16.45,False
24.4,40.65,False
48.0,37.05,True
25.0,42.35,True
15.8,17.05,True
28.6,31.65,False
7.100000000000001,30.85,False
24.7,40.05,False
25.7,35.45,False
25.6,41.55,True
24.9,42.35,True
24.5,40.05,True
6.5,22.05,False
26.4,40.95,False
37.5,19.75,False
25.4,41.45,True
27.6,40.75,False
2.3000000000000007,42.75,False
9.0,19.55,True
16.5,40.15,True
3.1999999999999993,30.15,False
36.2,17.55,False
3.6000000000000014,28.05,False
24.4,39.65,True
24.5,39.55,True
35.1,18.25,False
24.9,41.15,True
27.5,39.25,False
30.6,32.65,False
25.0,41.95,True
18.5,32.95,True
41.5,21.35,False
26.9,14.149999999999999,True
25.0,42.35,True
16.9,25.15,True
15.5,34.35,False
21.8,38.85,True
48.1,34.05,True
30.2,35.95,False
47.8,41.35,True
25.7,41.35,False
25.4,40.65,True
27.0,41.35,True
15.1,17.05,False
7.100000000000001,22.95,False
24.7,40.05,True
29.4,30.65,False
23.6,39.05,False
12.7,24.15,True
23.5,39.95,True
24.0,40.75,False
24.9,40.45,True
26.8,41.85,False
22.4,41.15,False
47.4,37.65,False
25.4,40.65,True
25.1,40.15,True
14.4,19.05,True
47.9,41.15,False
39.1,18.25,False
47.1,43.55,False
20.1,38.05,True
39.0,26.05,True
24.8,36.45,False
39.4,20.35,True
8.100000000000001,20.75,False
22.5,42.35,True
27.9,39.15,False
12.7,36.55,False
27.9,14.75,True
16.4,41.15,True
25.3,40.15,True
11.0,37.55,False
47.7,41.85,True
15.5,17.85,False
21.5,36.45,True
22.3,41.35,True
28.6,40.15,False
25.0,42.35,True
12.8,31.85,False
41.3,21.45,True
22.6,40.45,False
25.0,42.15,False
25.3,40.95,True
23.7,11.25,False
26.1,40.95,True
9.4,39.25,False
17.1,32.15,True
24.2,39.55,True
35.3,35.35,True
40.3,34.95,True
13.0,25.55,False
